Date,Close,bol_upp,bol_mid,bol_low,macd_line,macd_signal,macd_histogram,rsi_val,y,diff,1hot
2012-03-02,814.35,868.919,829.227,789.536,4.056,9.642,-5.586,48.368,813.2,-1.1499999999999773,0.0
2012-03-03,813.2,868.098,828.0,787.902,3.463,8.406,-4.943,47.76,797.9,-15.300000000000068,0.0
2012-03-05,797.9,868.46,826.257,784.055,1.739,7.073,-5.334,40.029,776.5,-21.399999999999977,0.0
2012-03-06,776.5,869.549,822.845,776.141,-1.338,5.391,-6.729,31.737,761.45,-15.049999999999955,0.0
2012-03-07,761.45,869.159,818.015,766.871,-4.935,3.326,-8.26,27.171,773.6,12.149999999999977,1.0
2012-03-09,773.6,866.146,814.062,761.979,-6.727,1.315,-8.042,35.779,796.95,23.350000000000023,1.0
2012-03-12,796.95,862.662,811.802,760.943,-6.192,-0.186,-6.006,49.116,818.65,21.699999999999932,1.0
2012-03-13,818.65,858.383,810.327,762.272,-3.971,-0.943,-3.028,58.383,814.3,-4.350000000000023,0.0
2012-03-14,814.3,853.349,808.635,763.921,-2.533,-1.261,-1.272,56.023,798.05,-16.25,0.0
2012-03-15,798.05,849.741,806.735,763.729,-2.674,-1.544,-1.13,47.71,771.95,-26.09999999999991,0.0
2012-03-16,771.95,850.344,804.725,759.106,-4.836,-2.202,-2.633,37.42,754.9,-17.050000000000068,0.0
2012-03-19,754.9,851.828,801.575,751.322,-7.834,-3.329,-4.506,32.187,760.4,5.5,1.0
2012-03-20,760.4,847.224,797.505,747.786,-9.656,-4.594,-5.062,35.542,768.35,7.9500000000000455,1.0
2012-03-21,768.35,842.619,794.262,745.906,-10.338,-5.743,-4.596,40.455,736.5,-31.850000000000023,0.0
2012-03-22,736.5,839.458,789.182,738.907,-13.296,-7.254,-6.043,29.915,744.0,7.5,1.0
2012-03-23,744.0,837.245,785.365,733.485,-14.864,-8.776,-6.088,34.548,729.8,-14.200000000000045,0.0
2012-03-26,729.8,840.328,782.795,725.262,-17.055,-10.432,-6.624,30.188,730.7,0.900000000000091,1.0
2012-03-27,730.7,841.167,779.527,717.888,-18.506,-12.047,-6.46,30.826,725.95,-4.75,0.0
2012-03-28,725.95,838.067,774.892,711.718,-19.811,-13.599,-6.212,29.2,724.85,-1.1000000000000227,0.0
2012-03-29,724.85,835.244,770.617,705.991,-20.695,-15.019,-5.677,28.794,748.25,23.399999999999977,1.0
2012-03-30,748.25,829.227,767.312,705.398,-19.285,-15.872,-3.414,46.908,740.8,-7.4500000000000455,0.0
2012-04-02,740.8,822.708,763.692,704.677,-18.556,-16.409,-2.147,42.899,752.45,11.650000000000091,1.0
2012-04-03,752.45,818.353,761.42,704.487,-16.843,-16.495,-0.347,50.528,747.1,-5.350000000000023,0.0
2012-04-04,747.1,816.762,759.95,703.138,-15.736,-16.344,0.608,47.188,742.6,-4.5,0.0
2012-04-09,742.6,816.337,759.007,701.678,-15.048,-16.084,1.036,44.342,743.0,0.39999999999997726,1.0
2012-04-10,743.0,814.801,757.477,700.154,-14.306,-15.729,1.423,44.684,732.9,-10.100000000000023,0.0
